seed,arm,seconds,error_l2
0,original,0.06774291698820889,0.05984160473017955
0,compensated,0.07699612504802644,0.013965844841051279
0,mean,0.059474209090694785,0.00982590969879382
1,compensated,0.07823062501847744,0.010727377891629395
1,mean,0.06021395802963525,0.009222457986101273
1,original,0.06808016705326736,0.053228321370111825
2,mean,0.059373083990067244,0.00933336925550421
2,original,0.06752987497020513,0.06206094685207518
2,compensated,0.07638283295091242,0.010560463672012611
3,original,0.06763179204426706,0.05893429323359372
3,compensated,0.07498566701542586,0.009003193964656058
3,mean,0.059380457969382405,0.013333473035617186
4,compensated,0.07764404104091227,0.008472241867888483
4,mean,0.0596892909379676,0.01423757384773187
4,original,0.07040437497198582,0.07435014888242826
5,mean,0.05918833299074322,0.008607089967056954
5,original,0.06825391703750938,0.06391153984038163
5,compensated,0.07584254106041044,0.008595355106735926
6,original,0.06701691704802215,0.06293019215615678
6,compensated,0.07501633302308619,0.00847398419561797
6,mean,0.05950766697060317,0.011885951853023517
7,compensated,0.07705133408308029,0.02078609961093824
7,mean,0.06053295801393688,0.019656758379752837
7,original,0.06784408295061439,0.05440298896863406
8,mean,0.05972158396616578,0.0074865816144702455
8,original,0.06809004105161875,0.05890446693850949
8,compensated,0.07720724993851036,0.01277436005179626
9,original,0.06828133296221495,0.05605055462855175
9,compensated,0.07683091703802347,0.0074621833014776925
9,mean,0.06033816700801253,0.012471993634987216
10,compensated,0.07649308396503329,0.015113142298983933
10,mean,0.06036929099354893,0.016178083316311657
10,original,0.06803695904091,0.05921025736004913
11,mean,0.05909466708544642,0.01574918679106285
11,original,0.06867812504060566,0.052411130312107555
11,compensated,0.07830108399502933,0.014455478256367515
12,original,0.07004741707351059,0.05452055004961123
12,compensated,0.07807162497192621,0.009229087143904987
12,mean,0.059470332926139235,0.007222391104241189
13,compensated,0.0761950840242207,0.015926310280159492
13,mean,0.05939716601278633,0.01547825502735626
13,original,0.06804941699374467,0.0663053897794675
14,mean,0.061025458038784564,0.015123651470871255
14,original,0.06837308406829834,0.05897203962880865
14,compensated,0.07688499998766929,0.012521497275650282
15,original,0.06810845795553178,0.06129336885975281
15,compensated,0.07529545901343226,0.018644044411591343
15,mean,0.059332416974939406,0.015581028706737745
16,compensated,0.07593712490051985,0.011510772539259228
16,mean,0.0593633750686422,0.012963913030424868
16,original,0.06887945800554007,0.06017177046666113
17,mean,0.05918237508740276,0.009695803151522768
17,original,0.06914308294653893,0.05717845877628355
17,compensated,0.07586966699454933,0.007098694499082
18,original,0.06808070908300579,0.0636724797724059
18,compensated,0.0755016669863835,0.021065613983732967
18,mean,0.05952875001821667,0.013889444578634166
19,compensated,0.07628604106139392,0.014346182319593202
19,mean,0.060520707978866994,0.008755002923862668
19,original,0.06755195907317102,0.05606396371609593
20,mean,0.0594103749608621,0.007899933912468854
20,original,0.0687603330006823,0.0548505599800226
20,compensated,0.0759618750307709,0.007854979729997527
21,original,0.06755679100751877,0.05752703671175269
21,compensated,0.07711033301893622,0.01293312103781699
21,mean,0.05974062508903444,0.01147861145376178
22,compensated,0.07778887497261167,0.010216495200792297
22,mean,0.0598237500526011,0.005804872586665997
22,original,0.06736554205417633,0.05758797849014637
23,mean,0.060136749991215765,0.010198961188704555
23,original,0.0685404579853639,0.05703487304275483
23,compensated,0.07775879197288305,0.012912489381888128
24,original,0.06776841706596315,0.06459806357946749
24,compensated,0.07534824998583645,0.017758240112433363
24,mean,0.05910308402962983,0.012055290538746315
25,compensated,0.0773504589451477,0.009151321786055521
25,mean,0.058788000023923814,0.013194164283025004
25,original,0.06738104100804776,0.061744284073237246
26,mean,0.06156541593372822,0.015442231274096847
26,original,0.06689287500921637,0.06936293381596806
26,compensated,0.07768529199529439,0.014584563967889657
27,original,0.06720170890912414,0.053733395726218144
27,compensated,0.07526754192076623,0.012031200910429434
27,mean,0.05923162493854761,0.015006556804056742
28,compensated,0.07613458298146725,0.01004410352986185
28,mean,0.05884579196572304,0.011354503921024148
28,original,0.06907820794731379,0.0531830587324009
29,mean,0.059273332939483225,0.020567367968571403
29,original,0.07150245900265872,0.05354754258143037
29,compensated,0.07647116691805422,0.01407091197898904
30,original,0.06936958292499185,0.06473262264024435
30,compensated,0.07551029091700912,0.00768460000021563
30,mean,0.0588472499512136,0.010760779648258154
31,compensated,0.07627308298833668,0.012370227360892527
31,mean,0.05904295796062797,0.013158933867546763
31,original,0.0680228330893442,0.058246282290845205
32,mean,0.058201667037792504,0.014521138105280674
32,original,0.07172858307603747,0.058975756081251746
32,compensated,0.07595387496985495,0.01088900929315225
33,original,0.06828070804476738,0.05299656698564481
33,compensated,0.07372733403462917,0.011033760521428918
33,mean,0.0605167499743402,0.011838350055003062
34,compensated,0.07709662499837577,0.013770907476945213
34,mean,0.059435500064864755,0.009869706371043882
34,original,0.06911704095546156,0.05528770872016913
35,mean,0.05896033300086856,0.011299277594109506
35,original,0.06710720795672387,0.0589525725199546
