seed,arm,seconds,error_l2
0,original,0.18335937499068677,0.022431316222397683
0,compensated,0.2092296249466017,0.023441317138288682
0,mean,0.16556187497917563,0.026889668381960812
1,compensated,0.2066765419440344,0.03961797054865718
1,mean,0.16376250004395843,0.03754407746703391
1,original,0.18065358302555978,0.039261410464870215
2,mean,0.16473633400164545,0.02432957203292765
2,original,0.18658916698768735,0.02756145800922666
2,compensated,0.2081064999802038,0.024035148961517323
3,original,0.1881257500499487,0.028553264085729606
3,compensated,0.21423966600559652,0.025940053077895483
3,mean,0.18434220901690423,0.022157867412944662
4,compensated,0.2112821249756962,0.012848698927859281
4,mean,0.167969583068043,0.014980328874474291
4,original,0.1805730409687385,0.01068529110643124
5,mean,0.16420691600069404,0.022657528482097098
5,original,0.18228529207408428,0.02546880966588834
5,compensated,0.20644929190166295,0.02010434769155515
6,original,0.18262683297507465,0.030683971109365604
6,compensated,0.20774604100733995,0.02763277580893312
6,mean,0.16475995804648846,0.025991655606345854
7,compensated,0.20561629196163267,0.05216199161594019
7,mean,0.1647470840252936,0.0469415453088884
7,original,0.1834122920408845,0.05306398099904025
8,mean,0.16337183397263288,0.028682953120590927
8,original,0.17989116604439914,0.03069536884314286
8,compensated,0.20798912493046373,0.030446577940336443
9,original,0.18471579195465893,0.01918394358718118
9,compensated,0.20874083298258483,0.01161091835369411
9,mean,0.16383958305232227,0.012123342909376254
10,compensated,0.20642812503501773,0.013967065001985569
10,mean,0.1633751249173656,0.012538800026908452
10,original,0.18369029101449996,0.01881619549244118
11,mean,0.16565650003030896,0.03353291190941736
11,original,0.18229745794087648,0.03356240938803683
11,compensated,0.2068125830264762,0.03467984687715914
12,original,0.180435459013097,0.018223752566875268
12,compensated,0.2077067920472473,0.011665746483818748
12,mean,0.16410058294422925,0.011609910708999159
13,compensated,0.20813533302862197,0.01591830812441483
13,mean,0.16750304109882563,0.015470265032164714
13,original,0.18385937495622784,0.01922075720556649
14,mean,0.1656390830175951,0.0204007652675174
14,original,0.1813648750539869,0.022551752619557608
14,compensated,0.20640608295798302,0.018634648093434947
15,original,0.182924541993998,0.030116771779731204
15,compensated,0.20836108294315636,0.026772356841962306
15,mean,0.1648602910572663,0.026538928312796344
16,compensated,0.20277375006116927,0.011182923060520291
16,mean,0.16628904198296368,0.011955542421251944
16,original,0.18372487497981638,0.01387408694234609
17,mean,0.16484141594264656,0.024821279395708135
17,original,0.17969000001903623,0.029157814558485515
17,compensated,0.2044659999664873,0.022301759264971927
18,original,0.1820837080013007,0.02332658210851706
18,compensated,0.20812237507198006,0.020957979825855313
18,mean,0.16697845794260502,0.01992787083954659
19,compensated,0.20872179104480892,0.021849179990405875
19,mean,0.16593233298044652,0.022231182412108322
19,original,0.18324745900463313,0.02189029970816384
20,mean,0.16260429203975946,0.030191697964434112
20,original,0.1814150840509683,0.03450481582672824
20,compensated,0.20621625008061528,0.031827882240202915
21,original,0.18118112499359995,0.021373131239788023
21,compensated,0.20491516694892198,0.016564418991343345
21,mean,0.1632824579719454,0.016010079788753552
22,compensated,0.20730337500572205,0.012408652096980298
22,mean,0.1661728749750182,0.012056376188851711
22,original,0.18339862499851733,0.01936014432222766
23,mean,0.16351125005166978,0.024169728834001748
23,original,0.1806954590138048,0.029854118326092412
23,compensated,0.20436612505000085,0.023759618350750602
24,original,0.18296945898327976,0.03256929019630263
24,compensated,0.21092258405406028,0.02477373030881752
24,mean,0.16605145891662687,0.024723863077445746
25,compensated,0.20637058396823704,0.019277729592945263
25,mean,0.16556279198266566,0.01868035982281497
25,original,0.1826816670363769,0.01468165113099175
26,mean,0.1644899999955669,0.015996540209548278
26,original,0.1823761670384556,0.021015960729221142
26,compensated,0.20691441709641367,0.01581647882016365
27,original,0.1801557089202106,0.01537945781710684
27,compensated,0.20348475000355393,0.010155063879897274
27,mean,0.16322004201356322,0.010303804102914238
28,compensated,0.20681954093743116,0.015375315007851779
28,mean,0.16397379199042916,0.014378863910697042
28,original,0.1826767500024289,0.01709154592622923
29,mean,0.16478908306453377,0.016061394892371676
29,original,0.17936187505256385,0.014339129523458423
29,compensated,0.20663745899219066,0.01695959838606337
30,original,0.18111700005829334,0.025411309441955778
30,compensated,0.20451554202008992,0.01973386505829369
30,mean,0.16341195802669972,0.016675044811136897
31,compensated,0.20652454101946205,0.018692617699355606
31,mean,0.16569745796732605,0.021722745186937332
31,original,0.18371950008440763,0.022295155667652024
32,mean,0.16404683294240385,0.031492493638656416
32,original,0.18480925005860627,0.03465276207954899
32,compensated,0.20282133296132088,0.028820912231374892
33,original,0.18265216692816466,0.017714399151298972
33,compensated,0.2089965830091387,0.020982623101809015
33,mean,0.1643921670038253,0.020529201757555873
34,compensated,0.20864066609647125,0.021547616447680846
34,mean,0.16298345802351832,0.01626156668726735
34,original,0.1799945830134675,0.025114237314920414
35,mean,0.1647437500068918,0.026445303199131298
35,original,0.1828363339882344,0.03154556052127286
35,compensated,0.20692962501198053,0.027351178080067505
36,original,0.1810306659899652,0.03183176030267194
36,compensated,0.20729683409444988,0.024423001771144093
36,mean,0.1650364580564201,0.024788223413391416
