flux,arm,cost,oneoff,int_var,var_ratio,var_ratio_ci,mse,var_cost_ratio
burgers,RAW,0.02545629200176336,0.0,0.000247853547772521,1.0,"[1.0, 1.0]",0.0002508486554728378,1.0
burgers,RAW+RB,0.046575542000937276,0.0,0.000218425422589969,0.8812680897771089,"[0.8516182093370701, 0.9078755226195904]",0.00022137758642919685,1.6123926818036292
burgers,RAW+CVH(c=1),0.028265688639407927,0.03934004100301536,0.0002815907328336973,1.136117418388298,"[1.020969538457402, 1.266442838908318]",0.0002824917866664939,1.2615011331480288
burgers,RAW+CVH(c*),0.03528025634250298,0.4882723740010988,0.00020919443646591517,0.8440243778875136,"[0.8200866161199512, 0.8685594487747066]",0.00021109233008129923,1.1697460262134958
burgers,RAW+CVF(c=1),0.027964324390609363,0.019307417001982685,0.00022067655099058958,0.8903505839388898,"[0.7531100114454095, 1.0574756037582616]",0.00022313580155478783,0.9780706690868762
burgers,RAW+CVF(c*),0.03494277165623316,0.46592804200190585,0.00016666094237952577,0.6724170135038233,"[0.6187505126939732, 0.7358865383086978]",0.000169090175213244,0.9229982968062581
burgers,FULL,0.026802188000146998,0.0,4.0865471387182024e-05,0.1648774921902195,"[0.1421474810699908, 0.19306614423135193]",4.271074475589242e-05,0.17359470665912072
burgers,FULL+RB,0.047946291997504886,0.0,1.993028693530106e-05,0.08041154590852578,"[0.06873295348411189, 0.09469738788396924]",2.1724576197733194e-05,0.15145314407274557
burgers,FULL+CVH(c=1),0.029753855638887217,0.03934004100301536,0.00017147772040695809,0.6918509819530188,"[0.592956487242698, 0.8161492086779604]",0.00017298640019894636,0.8086501458746052
burgers,FULL+CVH(c*),0.03705904509206448,0.5068721660063602,4.087166421701075e-05,0.16490247803320773,"[0.14217081723328215, 0.19310004328980127]",4.271922119189379e-05,0.24006357126962952
burgers,FULL+CVF(c=1),0.029452491390088653,0.019307417001982685,0.0001996193204872776,0.8053922256964723,"[0.6925318247658866, 0.9425244092709212]",0.00020088646151675672,0.9318249331570578
burgers,FULL+CVF(c*),0.03680652849948274,0.4899657920032041,4.0709293501628925e-05,0.16424737054396232,"[0.14164068562778284, 0.19249753470974232]",4.256188262515038e-05,0.23748060104247262
burgers,WITHIN,0.029697687499719905,0.0,5.162402749356601e-05,0.20828440003185403,"[0.1800466501284884, 0.24375581442141117]",5.3791258522802084e-05,0.24298766775554656
cubic,RAW,0.02471989599871449,0.0,0.00023606947359119658,1.0,"[1.0, 1.0]",0.00023938900465733553,1.0
cubic,RAW+RB,0.04647429199758335,0.0,0.00020219273150142567,0.8564967271099374,"[0.8288857245905322, 0.8825765404084341]",0.00020525845748689076,1.610244597823214
cubic,RAW+CVH(c=1),0.027829959135601712,0.03934004100301536,0.00018376457523620803,0.7784342991946288,"[0.6835604856571545, 0.8897716446911426]",0.00018416286307829268,0.8763707880269341
cubic,RAW+CVH(c*),0.034645017088791974,0.47550375000719214,0.0001461163359836196,0.6189548091959168,"[0.5654598715199122, 0.6825769567019618]",0.00014686559515693373,0.867467239461592
cubic,RAW+CVF(c=1),0.027455976886926692,0.014767833003134001,0.00014398478221887777,0.6099254597746823,"[0.5441889157053307, 0.688377171825907]",0.00014487472634700042,0.6774340526025132
cubic,RAW+CVF(c*),0.03422200357442762,0.44779354100319324,0.00011876940416489623,0.5031120811942427,"[0.4603180993740774, 0.5520281211756036]",0.00011963445757975488,0.696503878570624
cubic,FULL,0.026113291500223568,0.0,4.1060683895796666e-05,0.17393474586596394,"[0.15093378179302597, 0.20072738296218418]",4.215541012867728e-05,0.1837389898829437
cubic,FULL+RB,0.04783410449817893,0.0,1.930133451403156e-05,0.08176124689232729,"[0.06953545936941892, 0.09616252800361273]",2.0456047903208464e-05,0.15821166998244546
cubic,FULL+CVH(c=1),0.029216479639330828,0.03934004100301536,9.549071737404576e-05,0.40450260646324737,"[0.35025537965312376, 0.46711769085330324]",9.609252736467999e-05,0.4780821960741378
cubic,FULL+CVH(c*),0.036346067529962056,0.49563366600341396,3.9747981611092964e-05,0.16837408499467774,"[0.14602438203318993, 0.19451610909615402]",4.0761295315827725e-05,0.24756317194175786
cubic,FULL+CVF(c=1),0.028842497390655808,0.014767833003134001,0.00012021929104651182,0.5092538616606421,"[0.44841283221855854, 0.5793595014957119]",0.00012222407603311078,0.5941834535587162
cubic,FULL+CVF(c*),0.03613430598443301,0.4814435830048751,3.9626732300922026e-05,0.1678604679296399,"[0.14635255624488475, 0.19330558580040874]",4.0821022836738754e-05,0.24537002547159334
cubic,WITHIN,0.029230979496787768,0.0,5.341221111604555e-05,0.22625632320653158,"[0.1963033263746994, 0.2616387780067368]",5.432442628334515e-05,0.26754537903446857
