problem,alloc,N,S,dt,arm,antithetic,R,particle_steps,rms,ci_lo,ci_hi,median_seconds
shock,A_ref            N=6400  S=50,6400,50,0.005,mean,False,15,160000000,0.004887811835342646,0.004148129887381942,0.0055899478635116915,10.886118584000542
shock,B_manyruns       N=1600  S=200,1600,200,0.005,mean,False,15,160000000,0.006014664461477046,0.0050481098752087694,0.006930176341108289,9.129625541000678
shock,C_fewruns        N=25600 S=12,25600,12,0.005,mean,False,15,153600000,0.005595736659097754,0.004715377305524561,0.006378876506257961,12.504334082999776
shock,D_finer_dt       N=6400  S=25,6400,25,0.0025,mean,False,15,160000000,0.006221555425869682,0.004909330092753786,0.007453961745447833,10.013890165999328
shock,E_bigN           N=12800 S=25,12800,25,0.005,mean,False,15,160000000,0.005045977034967982,0.0042761562915104925,0.005828133889191881,11.663341082999978
shock,F_antithetic     N=6400  S=50,6400,50,0.005,mean,True,15,160000000,0.003542609641535125,0.003478161772186457,0.0036101932724694886,10.506624082998314
shock,G_comp_antith    N=6400  S=50,6400,50,0.005,compensated,True,15,160000000,0.0035184132455844358,0.003427355964087491,0.003615346290216751,12.828164458000174
shock,H_twospeed_diag  N=6400  S=50,6400,50,0.005,two_speed,False,15,160000000,0.014384111966481887,0.013705392243393356,0.015107409222537267,11.795800750000126
gaussian,A_ref            N=6400  S=50,6400,50,0.005,mean,False,15,64000000,0.0019857077730195878,0.0017920078652583786,0.002169530466164831,3.832403541999156
gaussian,B_manyruns       N=1600  S=200,1600,200,0.005,mean,False,15,64000000,0.002465692622146261,0.0021919887959611795,0.002746163570022706,3.1980459170008544
gaussian,C_fewruns        N=25600 S=12,25600,12,0.005,mean,False,15,61440000,0.0018793641587796074,0.0016415143202074115,0.0021153936855510614,4.728778458000306
gaussian,D_finer_dt       N=6400  S=25,6400,25,0.0025,mean,False,15,64000000,0.0025713859154202733,0.0022887425751252797,0.0028367853836318915,3.7003835830000753
gaussian,E_bigN           N=12800 S=25,12800,25,0.005,mean,False,15,64000000,0.0018067883045525608,0.0016024848147706647,0.002013224314195544,4.35520195800018
gaussian,F_antithetic     N=6400  S=50,6400,50,0.005,mean,True,15,64000000,0.0014934342655301526,0.0013091845835699189,0.001684398308287359,3.923228042000119
gaussian,G_comp_antith    N=6400  S=50,6400,50,0.005,compensated,True,15,64000000,0.0010856504292721999,0.0009806594313029793,0.0011817700043345184,4.670191375000286
gaussian,H_twospeed_diag  N=6400  S=50,6400,50,0.005,two_speed,False,15,64000000,0.05622467155145535,0.055876417994497954,0.05656280486767144,4.205875916999503
