A,nu,a,at,dt,dtt,taut,n_steps,arm,seed,A_hat,xc_hat,nu_hat,fit_rms,at_bound,l2_vs_exact,runtime_s
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,0,1.000172969643002,2.003167284318991,0.5013768163583462,0.0018873186830342943,0,0.01008753871112976,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,0,1.0002757546368648,1.9934993170682247,0.5093026132249198,0.0019188079942912036,0,0.01675291712881565,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,0,1.0003266924308838,2.004624176790652,0.5091123296091903,0.0024558478701194953,0,0.017385141161093264,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,0,1.0001130908999196,2.0005457882317366,0.5051972786333293,0.0013489368905388883,0,0.009353717505881294,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,0,0.9997566986256602,2.032241679884215,0.49851248017592825,0.002168956057154694,0,0.03879157658556077,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,0,0.9998979387562644,2.002255932369437,0.5024789569962483,0.0012754705502272233,0,0.007624951631966956,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,0,0.9998646711696683,1.9636901580319928,0.49377572443717554,0.00142409766047246,0,0.04335310915650257,0.23383598214214935
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,1,0.999935615157595,1.995633968385094,0.5020085849181388,0.0015189069570909087,0,0.009417095016830933,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,1,0.999971762306129,1.9905905113192148,0.5065744943766032,0.0020897702545150084,0,0.017263734359205078,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,1,1.0001195945465744,2.000171438630107,0.5035711700647729,0.0027257545939802755,0,0.014093219387044583,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,1,0.9996647869319186,1.9831679104791005,0.4978123118168143,0.002298366351731627,0,0.022632612466223428,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,1,0.9999199001188694,1.972957138202326,0.5095212359807152,0.003056237068204505,0,0.03661112641677987,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,1,0.9997787139961848,1.9737938156417096,0.49957667569455755,0.002441091454478586,0,0.032565979100709616,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,1,0.9996961244917831,1.9461497239678174,0.4956713247047199,0.0019842150512016537,0,0.06326443088958097,0.23171739285213075
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,2,0.9998019068880357,1.992288527898028,0.49665121515338784,0.0014412729273952719,0,0.012085824501249166,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,2,0.9998154749907179,1.9972914556287715,0.49471195008388086,0.001975701960878883,0,0.01214422585163723,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,2,0.9996168333974976,2.0164114832254416,0.5009961679091595,0.00225484882651022,0,0.022112157160210533,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,2,1.0001791001606795,2.0330035374812794,0.5031600966691577,0.002043526967231754,0,0.039537484596147254,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,2,1.000203419472792,2.0421094218227234,0.5051842227253684,0.0017119779334283857,0,0.04960712851782192,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,2,1.0003175952106875,2.0408881317861947,0.49794724415974356,0.0020016533672550757,0,0.048396536404562776,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,2,0.999739744699249,2.0725465856506458,0.4896726782069809,0.0025474248334130564,0,0.08598525986852541,0.25398007141692297
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,3,1.000502644855727,1.9992040552130772,0.5111092323029754,0.0022380989883775677,0,0.01755126748512268,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,3,1.0003957175745872,2.001101838494566,0.5107616849857809,0.002274551672745705,0,0.01745644576427797,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,3,1.0000348118828783,2.009262788518612,0.5018009059420994,0.002121229649692241,0,0.015100320677371777,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,3,0.9998683194880525,1.9984449081756215,0.49827381774104773,0.0019713435553224924,0,0.010051471764280373,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,3,0.9998748967284076,1.990877421685033,0.5078853265501762,0.001965332147351849,0,0.017725651580982882,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,3,1.0001215433156319,1.9639643140314453,0.5102080948181918,0.0021898315977707697,0,0.04465095279404832,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,3,1.0000336562987688,1.9442801380045904,0.49997301625408785,0.0018032339274898317,0,0.06494681625997636,0.22937839885707945
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,4,1.0002003276206082,1.999745421686425,0.5069965430994696,0.002112710782124005,0,0.013564964151734884,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,4,1.0005577466627158,1.9986646894882336,0.5167882587307908,0.0030209848700052297,0,0.02567429146812109,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,4,1.0006210040390255,1.988176232210397,0.5203058132239349,0.004260989526464217,0,0.035687392130369845,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,4,0.9998384634499071,1.99655217440132,0.5005825876594382,0.0027923485262646213,0,0.014326173958414281,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,4,1.00031274056287,2.013773120733091,0.4985838901888971,0.0017515217421652874,0,0.018313041053107215,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,4,1.000327527065112,2.0037639091731285,0.5057905688965956,0.0019281230765353051,0,0.01256954728567095,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,4,0.9994165203357456,1.991376378424572,0.5036536728670387,0.002573772735594816,0,0.01736110285076493,0.2304147917145331
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,5,0.9999750197997991,2.001802063394775,0.5015603505258175,0.0018592245437823675,0,0.009584578734334308,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,5,0.999949969820992,1.9971470415572412,0.49861687289803913,0.0020655495500180917,0,0.010789757773172664,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,5,0.9998407973649007,2.0002994898236777,0.49484244387890214,0.0018219426485212343,0,0.011030331495466986,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,5,1.0000905281622157,1.987837623563643,0.4998614055544006,0.0022600645940212944,0,0.01790425921405374,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,5,1.0000494171892265,1.9762580032443227,0.5033294543693023,0.004092890916696239,0,0.03426387315042868,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,5,1.0000237467791147,1.9906548936447317,0.5021486142209111,0.0013953086242559558,0,0.013062699128787885,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,5,1.0003156656544738,1.923803794030449,0.5006953144018687,0.002452595771301005,0,0.08877475173669844,0.2321095892860155
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,6,1.000300765385879,1.9997746482203924,0.5061058666091462,0.0020562435875326407,0,0.012550380961695131,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,6,1.0002484623166559,1.99748727510798,0.5030698066981142,0.001994144520896181,0,0.010842194956130095,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,6,1.0004383745207646,1.9951288819354895,0.5101948554319056,0.002338093866015798,0,0.01792068058962486,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,6,1.0000226621733075,1.98843130914763,0.50546300475834,0.001773309097508467,0,0.01745202130036613,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,6,1.000075242287903,1.9740443017582214,0.5121603634590698,0.0017387039921490106,0,0.034735268715174336,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,6,1.0001735413884514,1.954525506900989,0.5105486414684396,0.0012435760733723786,0,0.05428003231644523,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,6,1.000008215476275,1.9639660819987605,0.4955661846976453,0.0026834577841395577,0,0.044127809021696676,0.22919277984848513
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,7,1.0001089476614993,1.9973050798326017,0.5012025925643894,0.002190247317754589,0,0.011272101281227844,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,7,1.0000712276049553,1.9958829818942523,0.5071173623931733,0.002207472426840265,0,0.014924657892205574,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,7,1.0000201065713041,1.9762998735140929,0.5002766599177727,0.00183793349247678,0,0.028808877840240582,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,7,1.0000434295965854,1.978171720388318,0.4986330042429862,0.002063804344733776,0,0.027249930054024263,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,7,1.0000738489937415,1.9784131299642873,0.49892263774001266,0.0016680728612594238,0,0.02629101220199724,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,7,1.0003058124350612,1.988067424377552,0.5095096742522586,0.001781836825644405,0,0.020107596915058163,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,7,0.9999875900029511,2.0222018859812745,0.5021697816802194,0.0018192823969407665,0,0.02727336623659247,0.22978901184563125
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,8,1.0000543976594773,1.9917049974322978,0.4984435724793899,0.0015475075243850367,0,0.012420309530618479,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,8,1.0001767722414392,1.9959953874160756,0.5027178917803499,0.0016277718977290496,0,0.009783832298675233,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,8,1.000391428717045,1.9995044451481545,0.5091694250251858,0.002327742350592277,0,0.01606813394789802,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,8,1.0008789914337766,2.0003730136631743,0.5255053777647652,0.003348341383988656,0,0.035632860565610124,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,8,1.000284350458721,2.0023695012026805,0.5171153803630548,0.0017304239502626325,0,0.023467223515818876,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,10.0,2000,cond_mean,8,0.999607441456459,1.978866018610731,0.4914665023192887,0.002422813679350175,0,0.029247928772463256,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,20.0,4000,cond_mean,8,0.9999161105161285,2.0239490540244462,0.5036368659778807,0.0015020816882695205,0,0.028983025217735804,0.2297818690006222
1.0,0.5,2.0,2.0,0.0025,0.005,0.5,100,cond_mean,9,0.9999446472476745,2.0017399967823017,0.4969480684707083,0.001766621300069793,0,0.00970727147199363,0.23100305957320547
1.0,0.5,2.0,2.0,0.0025,0.005,1.0,200,cond_mean,9,1.0001027836211476,2.0023262453428736,0.5012007433444913,0.0019232245388063657,0,0.009912524992467243,0.23100305957320547
1.0,0.5,2.0,2.0,0.0025,0.005,2.0,400,cond_mean,9,1.0001774831297825,1.999577256593114,0.5053249948674974,0.0013801101977749025,0,0.009494185031274523,0.23100305957320547
1.0,0.5,2.0,2.0,0.0025,0.005,3.5,700,cond_mean,9,0.9997458840484502,1.9987784395322195,0.49865633831712275,0.0025650057403450686,0,0.01276753383460109,0.23100305957320547
1.0,0.5,2.0,2.0,0.0025,0.005,5.0,1000,cond_mean,9,0.999748067571756,2.0074288599461982,0.48934780999617455,0.001762556339918621,0,0.018240816289703574,0.23100305957320547
