problem,N,coupling,B,blocks,work_s,model_error,measured_error,measured_se,b2_hat,b2_ci,V_pair,C_pair
gaussian,1600,raw_rank,1,64,0.02619856639057616,0.00013441072549282547,0.0001344107254928255,1.2313271952023411e-05,6.604760384747678e-06,"[1.0805027065859682e-06, 2.0403984096506356e-05]",0.00012780596510807778,0.02619856639057616
gaussian,1600,raw_rank,2,32,0.05239713278115232,7.050774293878656e-05,6.361792929334517e-05,7.112499836330266e-06,6.604760384747678e-06,"[1.0805027065859682e-06, 2.0403984096506356e-05]",0.00012780596510807778,0.02619856639057616
gaussian,1600,raw_rank,4,16,0.10479426556230464,3.8556251661767124e-05,3.250404228089333e-05,5.0087925718585954e-06,6.604760384747678e-06,"[1.0805027065859682e-06, 2.0403984096506356e-05]",0.00012780596510807778,0.02619856639057616
gaussian,1600,raw_rank,8,8,0.2095885311246093,2.25805060232574e-05,1.8833245721624608e-05,2.8592977462656532e-06,6.604760384747678e-06,"[1.0805027065859682e-06, 2.0403984096506356e-05]",0.00012780596510807778,0.02619856639057616
gaussian,1600,sign_adjusted,1,64,0.027467441406429316,2.878305418258058e-05,2.8783054182580567e-05,1.020942804520539e-06,1.5549235183090574e-06,"[1.4429917412115234e-06, 2.6444629054656105e-06]",2.7228130664271525e-05,0.027467441406429316
gaussian,1600,sign_adjusted,2,32,0.05493488281285863,1.516898885044482e-05,1.5275836431171177e-05,5.971152951558822e-07,1.5549235183090574e-06,"[1.4429917412115234e-06, 2.6444629054656105e-06]",2.7228130664271525e-05,0.027467441406429316
gaussian,1600,sign_adjusted,4,16,0.10986976562571726,8.361956184376938e-06,8.478493342003137e-06,3.6655232691658e-07,1.5549235183090574e-06,"[1.4429917412115234e-06, 2.6444629054656105e-06]",2.7228130664271525e-05,0.027467441406429316
gaussian,1600,sign_adjusted,8,8,0.21973953125143453,4.958439851342998e-06,4.97773705675887e-06,2.7591353345826853e-07,1.5549235183090574e-06,"[1.4429917412115234e-06, 2.6444629054656105e-06]",2.7228130664271525e-05,0.027467441406429316
gaussian,1600,within_sign,1,64,0.03034135807831717,3.422010536905507e-05,3.422010536905502e-05,1.1685922408263534e-06,1.504263669848959e-06,"[1.4297939590943263e-06, 2.7231530436996658e-06]",3.271584169920611e-05,0.03034135807831717
gaussian,1600,within_sign,2,32,0.06068271615663434,1.7862184519452014e-05,1.795744860507525e-05,6.63510401062459e-07,1.504263669848959e-06,"[1.4297939590943263e-06, 2.7231530436996658e-06]",3.271584169920611e-05,0.03034135807831717
gaussian,1600,within_sign,4,16,0.12136543231326868,9.683224094650487e-06,1.0275898844443414e-05,3.565384447211343e-07,1.504263669848959e-06,"[1.4297939590943263e-06, 2.7231530436996658e-06]",3.271584169920611e-05,0.03034135807831717
gaussian,1600,within_sign,8,8,0.24273086462653737,5.593743882249722e-06,5.64143747740293e-06,2.019484832952391e-07,1.504263669848959e-06,"[1.4297939590943263e-06, 2.7231530436996658e-06]",3.271584169920611e-05,0.03034135807831717
gaussian,1600,independent,1,64,0.028425300171818435,0.000316599122981545,0.00031659912298154496,2.3985742043530563e-05,2.5312427969978254e-06,"[-3.728349100452075e-07, 2.161142631100661e-05]",0.00031406788018454717,0.028425300171818435
