flux,h,seed_key,N,seeds,policy,exact_var,grid_var,mse,cost_s,var_ratio,var_ratio_ci,resolved_gain,mse_ratio,var_cost_ratio
burgers,0.005,1,1600,64,RAW,0.0002846521543470015,0.00028497468993043257,0.0002850900138284504,0.025086416640306197,1.0,"[1.0, 1.0]",False,1.0,1.0
burgers,0.005,1,1600,64,FULL,4.1214252618489795e-05,4.120135292480738e-05,4.404136994917036e-05,0.026118701781456366,0.14478812820874734,"[0.11775042311464695, 0.17890102436152838]",True,0.154482331238974,0.15074603903785694
burgers,0.005,1,1600,64,FINAL,0.0002767697755597314,0.0002762220280941643,0.0002767700545888518,0.025189182406279542,0.9723087330733453,"[0.9470953366643077, 0.9974550920389493]",True,0.9708163778595028,0.9762917671251802
burgers,0.005,1,1600,64,WITHIN,5.3229744912765824e-05,5.342381090513849e-05,5.661805306018953e-05,0.02895533728127475,0.1869992694588104,"[0.15197873726837746, 0.2309201876269519]",True,0.19859711078571407,0.21583899351460928
burgers,0.0025,1,1600,64,RAW,0.0002540233119977266,0.00025358858365920036,0.00025117212083866495,0.04463434901583696,1.0,"[1.0, 1.0]",False,1.0,1.0
burgers,0.0025,1,1600,64,FULL,3.888230770683554e-05,3.8617506356183206e-05,3.971095412580828e-05,0.04729347717187693,0.15306590328679565,"[0.1323509945563424, 0.17766874027740834]",True,0.15810255530435946,0.16218493072046994
burgers,0.0025,1,1600,64,FINAL,0.000254433827084342,0.0002536817620862237,0.0002514299737707998,0.04445836200011399,1.0016160528078584,"[0.983258259979873, 1.0203147398061965]",False,1.0010265985383802,0.9976668203462999
burgers,0.0025,1,1600,64,WITHIN,4.959790597825625e-05,4.9222535744971665e-05,5.023318576901003e-05,0.053480053452688026,0.19524942647271729,"[0.1703443952725952, 0.22397838637699477]",True,0.1999950695215742,0.23394426029743676
cubic,0.005,1,1600,64,RAW,0.00022876504305407202,0.0002305309551041441,0.00023378655676309688,0.024371511765480136,1.0,"[1.0, 1.0]",False,1.0,1.0
cubic,0.005,1,1600,64,FULL,4.302755042663609e-05,4.344632233481984e-05,4.495818854930276e-05,0.025304994156101657,0.18808621217738186,"[0.16427172600019527, 0.2143254665382302]",True,0.19230442148502266,0.19529032691083775
cubic,0.005,1,1600,64,FINAL,0.0002190428390792232,0.00022088441290355482,0.00022508099636656473,0.024492834656030027,0.9575013566537313,"[0.9356911742270092, 0.9800185596265462]",True,0.9627627844942609,0.9622678575344527
cubic,0.005,1,1600,64,WITHIN,5.458159721420377e-05,5.455297875505376e-05,5.6235390970267194e-05,0.029176015562427438,0.23859238494450655,"[0.2068861128466154, 0.2742821094175364]",True,0.24054159378912557,0.2856275475728767
cubic,0.0025,1,1600,64,RAW,0.00022211195702367387,0.00022068235761092588,0.00022163397382386052,0.04480302860906704,1.0,"[1.0, 1.0]",False,1.0,1.0
cubic,0.0025,1,1600,64,FULL,3.796755619713539e-05,3.742346101965562e-05,3.855574370902166e-05,0.04926968096839346,0.17093882160107485,"[0.1512448298161665, 0.19332827485025736]",True,0.1739613428565023,0.18798062244599362
cubic,0.0025,1,1600,64,FINAL,0.00021845838789451882,0.0002170819425975143,0.00021792044075760153,0.04546043626584151,0.9835507769229838,"[0.9691390363886864, 0.9981272342934532]",True,0.9832447480763474,0.9979826988632964
cubic,0.0025,1,1600,64,WITHIN,4.857315293787814e-05,4.828773710757632e-05,4.937064455840478e-05,0.05386488479689433,0.21868769961223183,"[0.1936145743200253, 0.24680859484017845]",True,0.2227575660293001,0.26291945236324493
cubic,0.005,2,1600,64,RAW,0.0002015748871300394,0.00020098596348956576,0.00019930049042747415,0.02498631901562476,1.0,"[1.0, 1.0]",False,1.0,1.0
cubic,0.005,2,1600,64,FULL,3.91462160452069e-05,3.899970438309854e-05,4.028318198746656e-05,0.026201303421714783,0.19420185025306752,"[0.1746061155318643, 0.21725036206539589]",True,0.20212284425926033,0.20364510676251013
cubic,0.005,2,1600,64,FINAL,0.00019600491817294867,0.00019579115958639508,0.00019415627443621113,0.02492729031246199,0.9723677436391298,"[0.9541642593845988, 0.9910835485157142]",True,0.9741886435892388,0.9700705822658026
cubic,0.005,2,1600,64,WITHIN,4.8762516290615456e-05,4.887523096451344e-05,5.006027665890925e-05,0.030002434968537273,0.24190769487648492,"[0.2178024139477595, 0.2691333181769776]",True,0.2511798970064566,0.2904717529373553
