cell,problem,N,h,B_raw,work_s,B_full_interp,err_raw,err_full,ratio,ratio_ci,shared_b2,shared_b2_ci
gaussian N=1600 h=0.005,gaussian,1600,0.005,1,0.02619856639057616,0.9538043971013569,0.00012936088862638682,3.0101794079001283e-05,0.2326962530841889,"[0.191007234770157, 0.27692594911096313]",1.5549235183090574e-06,"[8.798392900844242e-07, 2.0942466264048603e-06]"
gaussian N=1600 h=0.005,gaussian,1600,0.005,2,0.05239713278115232,1.9076087942027138,6.545790607234795e-05,1.582835879865517e-05,0.241809733130796,"[0.19614832633847198, 0.28510232378608275]",1.5549235183090574e-06,"[8.798392900844242e-07, 2.0942466264048603e-06]"
gaussian N=1600 h=0.005,gaussian,1600,0.005,4,0.10479426556230464,3.8152175884054276,3.3506414795328504e-05,8.691641158482115e-06,0.2594023028597471,"[0.20585557102937407, 0.3015118665801411]",1.5549235183090574e-06,"[8.798392900844242e-07, 2.0942466264048603e-06]"
gaussian N=1600 h=0.005,gaussian,1600,0.005,8,0.2095885311246093,7.630435176810855,1.753066915681878e-05,5.123282338395586e-06,0.2922468214171288,"[0.2229228932749977, 0.33412073075496274]",1.5549235183090574e-06,"[8.798392900844242e-07, 2.0942466264048603e-06]"
twopulse N=1600 h=0.005,twopulse,1600,0.005,1,0.02696859051576439,0.9446843516925619,0.00025876494764393964,4.777209566452261e-05,0.18461579166532624,"[0.14594331469366664, 0.22301397145927115]",3.433366423080351e-06,"[2.068705836673458e-06, 4.5336375398836705e-06]"
twopulse N=1600 h=0.005,twopulse,1600,0.005,2,0.05393718103152878,1.8893687033851239,0.00013109915703351,2.560273104380148e-05,0.19529287314377783,"[0.1531269688091369, 0.23401398846655214]",3.433366423080351e-06,"[2.068705836673458e-06, 4.5336375398836705e-06]"
twopulse N=1600 h=0.005,twopulse,1600,0.005,4,0.10787436206305756,3.7787374067702477,6.726626172829517e-05,1.4518048733440916e-05,0.2158295757847055,"[0.16521848014024126, 0.2559656905540758]",3.433366423080351e-06,"[2.068705836673458e-06, 4.5336375398836705e-06]"
twopulse N=1600 h=0.005,twopulse,1600,0.005,8,0.21574872412611512,7.557474813540495,3.5349814075687764e-05,8.975707578260633e-06,0.25391102649203967,"[0.18596845237329404, 0.2966447862637819]",3.433366423080351e-06,"[2.068705836673458e-06, 4.5336375398836705e-06]"
gaussian N=6400 h=0.005,gaussian,6400,0.005,1,0.13745397721874042,0.9720563434680585,2.7765854289112706e-05,6.65619461300909e-06,0.23972590735733482,"[0.20124230783804223, 0.2807964957697837]",9.577192898015351e-07,"[7.469060469606456e-07, 1.137579246418346e-06]"
gaussian N=6400 h=0.005,gaussian,6400,0.005,2,0.27490795443748084,1.944112686936117,1.436178678945712e-05,3.8069569514053124e-06,0.2650754399306339,"[0.22170643862312336, 0.3073774547913908]",9.577192898015351e-07,"[7.469060469606456e-07, 1.137579246418346e-06]"
gaussian N=6400 h=0.005,gaussian,6400,0.005,4,0.5498159088749617,3.888225373872234,7.659753039629328e-06,2.382338120603424e-06,0.31102022588429434,"[0.2592845134133917, 0.35660626972773357]",9.577192898015351e-07,"[7.469060469606456e-07, 1.137579246418346e-06]"
gaussian N=6400 h=0.005,gaussian,6400,0.005,8,1.0996318177499234,7.776450747744468,4.308736164715431e-06,1.6700287052024794e-06,0.38759131247776824,"[0.32252494333694787, 0.43749599005462664]",9.577192898015351e-07,"[7.469060469606456e-07, 1.137579246418346e-06]"
gaussian N=1600 h=0.005 (key51),gaussian,1600,0.005,1,0.02472273046873852,0.9484899377554952,0.00013040739278615305,3.08362350939692e-05,0.23646078979997415,"[0.1950341114576412, 0.2832439783861585]",1.7595460720885913e-06,"[1.1435014580115609e-06, 2.254048260644262e-06]"
gaussian N=1600 h=0.005 (key51),gaussian,1600,0.005,2,0.04944546093747704,1.8969798755109903,6.608346942912083e-05,1.6297890583028896e-05,0.24662583129824214,"[0.2023297613643175, 0.2921262537922749]",1.7595460720885913e-06,"[1.1435014580115609e-06, 2.254048260644262e-06]"
gaussian N=1600 h=0.005 (key51),gaussian,1600,0.005,4,0.09889092187495407,3.7939597510219807,3.392150775060471e-05,9.028718327558743e-06,0.2661650064006306,"[0.2155677225760142, 0.30888704977881826]",1.7595460720885913e-06,"[1.1435014580115609e-06, 2.254048260644262e-06]"
gaussian N=1600 h=0.005 (key51),gaussian,1600,0.005,8,0.19778184374990815,7.587919502043961,1.784052691134665e-05,5.394132199823667e-06,0.3023527402877869,"[0.24061997809412236, 0.3401355440982102]",1.7595460720885913e-06,"[1.1435014580115609e-06, 2.254048260644262e-06]"
twopulse N=6400 h=0.005,twopulse,6400,0.005,1,0.14141889778125005,0.9481960234617383,6.663394659235754e-05,9.353871260941186e-06,0.1403769660855419,"[0.11850497476762926, 0.1656456242784232]",1.5816537972673645e-06,"[1.2541258744746112e-06, 1.8721013006501498e-06]"
twopulse N=6400 h=0.005,twopulse,6400,0.005,2,0.2828377955625001,1.8963920469234765,3.4107800194812454e-05,5.467762529104275e-06,0.16030827253221336,"[0.1351232752991882, 0.18679939449176985]",1.5816537972673645e-06,"[1.2541258744746112e-06, 1.8721013006501498e-06]"
twopulse N=6400 h=0.005,twopulse,6400,0.005,4,0.5656755911250002,3.792784093846953,1.7844726996039907e-05,3.52470816318582e-06,0.19752099115710883,"[0.16521040436973966, 0.22744872237552394]",1.5816537972673645e-06,"[1.2541258744746112e-06, 1.8721013006501498e-06]"
twopulse N=6400 h=0.005,twopulse,6400,0.005,8,1.1313511822500004,7.585568187693906,9.713190396653637e-06,2.553180980226592e-06,0.2628570918476186,"[0.21843153639572288, 0.2979882534357769]",1.5816537972673645e-06,"[1.2541258744746112e-06, 1.8721013006501498e-06]"
twopulse N=1600 h=0.005 (key51),twopulse,1600,0.005,1,0.025130787765590412,0.944593433736461,0.00023401310541601767,4.601948844306254e-05,0.19665346674175033,"[0.17136910914754916, 0.22408534344916087]",3.4818277412174846e-06,"[2.1768631534472376e-06, 4.558808522292445e-06]"
twopulse N=1600 h=0.005 (key51),twopulse,1600,0.005,2,0.050261575531180824,1.889186867472922,0.00011874746657861759,2.4750658092140012e-05,0.20843104114354866,"[0.18021389207450564, 0.23522161747789028]",3.4818277412174846e-06,"[2.1768631534472376e-06, 4.558808522292445e-06]"
twopulse N=1600 h=0.005 (key51),twopulse,1600,0.005,4,0.10052315106236165,3.778373734945844,6.111464715991753e-05,1.411624291667875e-05,0.23097970081936406,"[0.1959098985728038, 0.2571380719604505]",3.4818277412174846e-06,"[2.1768631534472376e-06, 4.558808522292445e-06]"
twopulse N=1600 h=0.005 (key51),twopulse,1600,0.005,8,0.2010463021247233,7.556747469891688,3.229823745056751e-05,8.799035328948117e-06,0.2724308204871876,"[0.22147725002832758, 0.3000971456818873]",3.4818277412174846e-06,"[2.1768631534472376e-06, 4.558808522292445e-06]"
twopulse N=1600 h=0.005 (spectral ref),twopulse,1600,0.005,1,0.025086416640306197,0.9604771649912912,0.0002878147069547956,4.573677129043759e-05,0.15891047324979485,"[0.12800862829305026, 0.19316824196764792]",2.840017024363016e-06,"[1.429952413528246e-06, 3.875030017679615e-06]"
