flux,arm,cost,note,int_var,var_ratio,var_ratio_ci,mse,var_cost,var_cost_ratio
burgers,RAW,0.024365816890053793,no control,0.000247853547772521,1.0,"[1.0, 1.0]",0.0002508486554728378,6.0391541605754465e-06,1.0
burgers,RAW+CV(c=1),0.027901647062208212,c=1.0000; mu_H and training amortised over 64 replicas,0.0002815907328336973,1.136117418388298,"[1.0231821736529152, 1.2688106151904825]",0.0002824917866664939,7.856845243514387e-06,1.3009843820191105
burgers,RAW+CV(c*),0.041140352796560364,c=0.2605; mu_H and training amortised over 64 replicas,0.00020919443646591517,0.8440243778875136,"[0.8215034866947419, 0.8693355037677987]",0.00021109233008129923,8.606332919285383e-06,1.4250891251408824
burgers,RAW+RB,0.04451646148390864,"Gaussian-CDF at all 801 probes, timed",0.000218425422589969,0.8812680897771089,"[0.8521785879052876, 0.9084522683089934]",0.00022137758642919685,9.723526911832823e-06,1.6100809241316516
burgers,FULL,0.024367010296032277,no control,4.0865471387182024e-05,0.1648774921902195,"[0.14180536210754635, 0.19345228731551664]",4.271074475589242e-05,9.957693620436767e-07,0.16488556767505896
burgers,FULL+CV(c=1),0.029082764906434022,c=1.0000; mu_H and training amortised over 64 replicas,0.00017147772040695809,0.6918509819530188,"[0.5956784342075412, 0.815029339282065]",0.00017298640019894636,4.987046229286786e-06,0.8257855482218043
burgers,FULL+CV(c*),0.04168898560965317,c=0.0083; mu_H and training amortised over 64 replicas,4.087166421701075e-05,0.16490247803320773,"[0.14184587523287812, 0.19360680960773974]",4.271922119189379e-05,1.7038982213855375e-06,0.2821418655792652
burgers,FULL+RB,0.0443363696100505,"Gaussian-CDF at all 801 probes, timed",1.993028693530106e-05,0.08041154590852578,"[0.06844702448541108, 0.09480575548499263]",2.1724576197733194e-05,8.836365679978684e-07,0.1463179353437254
burgers,WITHIN,0.024364053203044023,no control,5.162402749356601e-05,0.20828440003185403,"[0.17959635426663875, 0.24494445851420849]",5.3791258522802084e-05,1.2577705524086497e-06,0.20826932364462142
cubic,RAW,0.02394967473514953,no control,0.00023606947359119658,1.0,"[1.0, 1.0]",0.00023938900465733553,5.65378710740713e-06,1.0
cubic,RAW+CV(c=1),0.02700231059395719,c=1.0000; mu_H and training amortised over 64 replicas,0.00018376457523620803,0.7784342991946288,"[0.6837211961311545, 0.8855108572812284]",0.00018416286307829268,4.962068136694703e-06,0.8776538703047038
cubic,RAW+CV(c*),0.03877742714087162,c=0.6100; mu_H and training amortised over 64 replicas,0.0001461163359836196,0.6189548091959168,"[0.5629290155519229, 0.6816419520876599]",0.00014686559515693373,5.666015572695927e-06,1.0021628803944134
cubic,RAW+RB,0.044323397922312324,"Gaussian-CDF at all 801 probes, timed",0.00020219273150142567,0.8564967271099374,"[0.8300324007242812, 0.8819321683229007]",0.00020525845748689076,8.961868895336945e-06,1.5851090119038682
cubic,FULL,0.023948069313860287,no control,4.1060683895796666e-05,0.17393474586596394,"[0.15132022479982934, 0.20094080424539948]",4.215541012867728e-05,9.833241040110455e-07,0.1739230864782253
cubic,FULL+CV(c=1),0.028370947969165172,c=1.0000; mu_H and training amortised over 64 replicas,9.549071737404576e-05,0.40450260646324737,"[0.3528247246368582, 0.46729065966594663]",9.609252736467999e-05,2.709162174157309e-06,0.4791765453297642
cubic,FULL+CV(c*),0.04042969015665676,c=0.1583; mu_H and training amortised over 64 replicas,3.9747981611092964e-05,0.16837408499467774,"[0.14617702842324984, 0.1945754446425923]",4.0761295315827725e-05,1.6069985808889793e-06,0.28423400994063275
cubic,FULL+RB,0.04409081534458892,"Gaussian-CDF at all 801 probes, timed",1.930133451403156e-05,0.08176124689232729,"[0.0695238960904741, 0.09612704693961725]",2.0456047903208464e-05,8.510115759623064e-07,0.15052062622722046
cubic,WITHIN,0.023946611593828493,no control,5.341221111604555e-05,0.22625632320653158,"[0.19685154600013693, 0.26193898973792507]",5.432442628334515e-05,1.2790414739635114e-06,0.2262273852313639
