seed,arm,seconds,error_l2
0,mean,0.09122779197059572,0.013574975147760742
0,two_speed,0.09531808295287192,0.05895612212803655
0,two_speed_comp,0.10019229201134294,0.010625040901968478
0,three_speed,0.09219774999655783,0.016460513361791725
0,three_speed_comp,0.11001883295830339,0.009761315613751695
1,two_speed,0.08865058294031769,0.05921493660234091
1,two_speed_comp,0.10084095795173198,0.01764022553669989
1,three_speed,0.09234179195482284,0.03194380658333679
1,three_speed_comp,0.14593500003684312,0.024878185946418836
1,mean,0.08072004106361419,0.025623727760228796
2,two_speed_comp,0.09743937500752509,0.006882425383393011
2,three_speed,0.09172408399172127,0.010098586317784982
2,three_speed_comp,0.10275112499948591,0.009625108875265926
2,mean,0.08377429202664644,0.011478786764508178
2,two_speed,0.09159966697916389,0.05354536623838145
3,three_speed,0.09259249991737306,0.014630145749592984
3,three_speed_comp,0.101100750034675,0.01033929828012791
3,mean,0.08231358393095434,0.009829041626210499
3,two_speed,0.09476483298931271,0.06494357684769715
3,two_speed_comp,0.12604445801116526,0.01382814674416008
4,three_speed_comp,0.10329983301926404,0.014875933919118747
4,mean,0.08230479096528143,0.013509454837934348
4,two_speed,0.09129195800051093,0.05849111805690816
4,two_speed_comp,0.10792687500361353,0.010503391569306323
4,three_speed,0.10678879101760685,0.01966172916846115
5,mean,0.08175087498966604,0.0162123912042828
5,two_speed,0.09443608298897743,0.06016675173126974
5,two_speed_comp,0.11674270802177489,0.013898321828836435
5,three_speed,0.09070691699162126,0.01435733504221113
5,three_speed_comp,0.09869058395270258,0.016145975327770994
6,two_speed,0.08929066709242761,0.06510637286422066
6,two_speed_comp,0.11180750001221895,0.010682857871259808
6,three_speed,0.08940275001805276,0.013012196760589742
6,three_speed_comp,0.09693987504579127,0.011058421092901304
6,mean,0.07901837502140552,0.008069035192281067
7,two_speed_comp,0.09355187497567385,0.01020649912578565
7,three_speed,0.08859150006901473,0.01348717283583979
7,three_speed_comp,0.09693079104181379,0.010618374391535661
7,mean,0.08281279192306101,0.009377570192285738
7,two_speed,0.09338774997740984,0.06340680525792187
8,three_speed,0.0916988750686869,0.011364999041106239
8,three_speed_comp,0.10243741609156132,0.007555819628345029
8,mean,0.08182433294132352,0.011704499978529029
8,two_speed,0.09363791591022164,0.057835429942745965
8,two_speed_comp,0.13352045905776322,0.009990655936226263
9,three_speed_comp,0.10107591701671481,0.023358854894652427
9,mean,0.08634820906445384,0.01682606053894278
9,two_speed,0.09485316590871662,0.05831487253795101
9,two_speed_comp,0.11341937503311783,0.022213520725508185
9,three_speed,0.10625695798080415,0.022589203407370535
10,mean,0.09242212504614145,0.01441338513362684
10,two_speed,0.09643704199697822,0.06275002724593201
10,two_speed_comp,0.10406516690272838,0.011804707801382383
10,three_speed,0.09090854204259813,0.01657774485621268
10,three_speed_comp,0.1016349580604583,0.014269407466496381
11,two_speed,0.09131087502464652,0.05593627604463201
11,two_speed_comp,0.1016077910317108,0.013287129154549451
11,three_speed,0.10021520801819861,0.0147414842413577
11,three_speed_comp,0.10078125004656613,0.008516751356254324
11,mean,0.08279974991455674,0.00771669330096387
12,two_speed_comp,0.09685587498825043,0.017496184973616085
12,three_speed,0.08979329094290733,0.01673817228927031
12,three_speed_comp,0.10410029208287597,0.013470904618764218
12,mean,0.08082991605624557,0.011823886172055924
12,two_speed,0.09360004204791039,0.05391055610909748
13,three_speed,0.09793504106346518,0.01744442985880139
13,three_speed_comp,0.10400962503626943,0.010684271722029782
13,mean,0.08364916709251702,0.012006363957359156
